Abdol Ahmet
Abner Little
Abominable Snowman
Absorbing Man
Adam X
Afari Jamal
Aged Genghis
Agent Axis
Agent Cheesecake
Agent X
Agent Zero
El Aguila
Air Walker
Alexander Caleb
Alexander Carrie
Alhazred Abdul
Alistair Smythe
Alistaire Stuart
Aliyah Bishop
Allan Liz
Allerdyce St. John
Alraune Marlene
Alysande Stuart
Alyssa Moy
Amanda Sefton
Amatsu Mikaboshi
Amber Hunt
Amelia Voght
American Ace
American Dream
American Eagle
American Samurai
Amiko Kobayashi
Amina Synge
Ancient One
Anderssen Tanya
Andrew Chord
Andrew Gervais
Android Man
Angel Dust
Angel Face
Angel Salvadore
Angela Cairn
Anne Marie Cortez
Annie Ghazikhanian
Apache Kid
Arabian Knight
Archie Corrigan
Arcturus Rann
Arizona Annie
Arliss Todd
Armand Martel
Arnim Zola
Arturo Falcones
Jackson Arvad
Asbestos Lady
Asbestos Man
Astrid Bloom
Astrovik Vance
Atom Bob
Atom Smasher
Att Lass
Auntie Freeze
Awesome Android
Bailey Gailyn
Bailey Joey
Bailey Paul
Sunset Bain
Baker William
Baron Blood
Baron Brimstone
Baron Macabre
Baron Mordo
Baron Samedi
Baron Strucker
Baron Zemo
Baroness Blood
Barracuda
Barton Clint
Battering Ram
Beautiful Dreamer
Beckley Benny
Beechman Jerome
Bella Donna
Bench Morris
Bible John
Big Bertha
Big Man
Big Wheel
Bill Foster
Bird Brain
Bird Man
Birely Douglas
Bishop Kate
Black Carmilla
Black Cat
Black Crow
Black Widow
Blaire Allison
Blaze Johnny
Blaze Siena
Blazing Skull
Blevins Sally
Blind Faith
Blind Justice
Blonde Phantom
Blonsky Emil
Bloom Astrid
Blue Bullet
Blue Diamond
Bob Diamond
Bogan Elias
Bohusk Tito
Bont Alexander
Bounty Hunter
Braddock Brian
Braddock Jamie
Braddock Meggan
Bradley Isaiah
Brand Abigail
Brant Betty
Eddie Brock
Brothers Grimm
Brown Abe
Bethany Cabe
Godfrey Calthrop
Heather Cameron
David Cannon
Captain America
Carolyn Parmenter
Guido Carosella
Joe Cartelli
Peggy Carter
Sharon Carter
Cassandra Nova
Cassidy Sean
Cassidy Theresa
Tom Cassidy
Castle Frank
Cecilia Reyes
Century Turner
Charles Xavier
Lila Cheney
Kasper Cole
Colleen Wing
Rusty Collins
Connors Curtis
Cooper Valerie
Corbo Adrian
Corbo Jared
Cordelia Frost
Abraham Cornelius
Corsi Tom
Fabian Cortez
Graydon Creed
Creed Victor
Crichton Kenneth
Crimson Craig
Damian Margo
Damon Dran
Lorna Dane
Danielle Moonstar
Danvers Carol
Davis Leila
Dawson Tex
Day Wilbur
Laura Dean
Delphine Courtney
DeWolff Jean
Diamanda Nero
Diamond Lil
Dillon Maxwell
Dmitri Bukharin
Doe John
Donald Pierce
Douglas Ramsey
Drake Frank
Dredmund Druid
